time,.name,.pose,.twist
1970/01/01/09:00:08.360000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00044484380311
  y: -0.00860846257177
  z: 0.381475604298
orientation: 
  x: -5.95422988498e-06
  y: 0.000149658981218
  z: 0.0389043714427
  w: 0.999242927145]",[]
1970/01/01/09:00:08.370000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00044484380311
  y: -0.00860846257177
  z: 0.381475604298
orientation: 
  x: -5.95422988498e-06
  y: 0.000149658981218
  z: 0.0389043714427
  w: 0.999242927145]",[]
1970/01/01/09:00:08.380000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.390000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.400000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.400000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.420000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.430000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.440000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00118505417021
  y: -0.0091712613045
  z: 0.381467494508
orientation: 
  x: 5.65027633898e-07
  y: 9.85012119741e-05
  z: 0.0394761761455
  w: 0.999220507102]",[]
1970/01/01/09:00:08.450000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.460000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.470000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.480000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.490000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.490000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00231400255095
  y: -0.00996077059476
  z: 0.381456172779
orientation: 
  x: 9.88382065842e-06
  y: 3.13307720628e-05
  z: 0.0405213721692
  w: 0.999178671369]",[]
1970/01/01/09:00:08.510000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00252058060742
  y: -0.00866621678437
  z: 0.381524284186
orientation: 
  x: -0.00155967821776
  y: 0.000339152698014
  z: 0.0401948277094
  w: 0.999190586527]",[]
1970/01/01/09:00:08.520000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00252058060742
  y: -0.00866621678437
  z: 0.381524284186
orientation: 
  x: -0.00155967821776
  y: 0.000339152698014
  z: 0.0401948277094
  w: 0.999190586527]",[]
1970/01/01/09:00:08.530000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00252058060742
  y: -0.00866621678437
  z: 0.381524284186
orientation: 
  x: -0.00155967821776
  y: 0.000339152698014
  z: 0.0401948277094
  w: 0.999190586527]",[]
